pickup_date,pickup_month,company,borough,trips
2015-02-14,2015-02,Uber,Queens,7408
2015-02-14,2015-02,Uber,Staten Island,43
2015-02-14,2015-02,Uber,Unknown,24
2015-02-15,2015-02,Uber,Bronx,1012
2015-02-15,2015-02,Uber,Brooklyn,13775
2015-02-15,2015-02,Uber,Manhattan,66427
2015-02-15,2015-02,Uber,Queens,6446
2015-02-15,2015-02,Uber,Staten Island,31
2015-02-15,2015-02,Uber,Unknown,23
2015-02-16,2015-02,Uber,Bronx,797
2015-02-16,2015-02,Uber,Brooklyn,10137
2015-02-16,2015-02,Uber,Manhattan,51880
2015-02-16,2015-02,Uber,Queens,7751
2015-02-16,2015-02,Uber,Staten Island,20
2015-02-16,2015-02,Uber,Unknown,17
2015-02-17,2015-02,Uber,Bronx,809
2015-02-17,2015-02,Uber,Brooklyn,8483
2015-02-17,2015-02,Uber,EWR,2
2015-02-17,2015-02,Uber,Manhattan,55720
2015-02-17,2015-02,Uber,Queens,6474
2015-02-17,2015-02,Uber,Staten Island,40
2015-02-17,2015-02,Uber,Unknown,19
2015-02-18,2015-02,Uber,Bronx,872
2015-02-18,2015-02,Uber,Brooklyn,9026
2015-02-18,2015-02,Uber,EWR,1
2015-02-18,2015-02,Uber,Manhattan,55343
2015-02-18,2015-02,Uber,Queens,5592
2015-02-18,2015-02,Uber,Staten Island,29
2015-02-18,2015-02,Uber,Unknown,28
2015-02-19,2015-02,Uber,Bronx,1101
2015-02-19,2015-02,Uber,Brooklyn,10429
2015-02-19,2015-02,Uber,EWR,1
2015-02-19,2015-02,Uber,Manhattan,69298
2015-02-19,2015-02,Uber,Queens,6178
2015-02-19,2015-02,Uber,Staten Island,32
2015-02-19,2015-02,Uber,Unknown,24
2015-02-20,2015-02,Uber,Bronx,1162
2015-02-20,2015-02,Uber,Brooklyn,12795
2015-02-20,2015-02,Uber,Manhattan,77955
2015-02-20,2015-02,Uber,Queens,6975
2015-02-20,2015-02,Uber,Staten Island,32
2015-02-20,2015-02,Uber,Unknown,27
2015-02-21,2015-02,Uber,Bronx,1093
2015-02-21,2015-02,Uber,Brooklyn,15641
2015-02-21,2015-02,Uber,EWR,1
2015-02-21,2015-02,Uber,Manhattan,73222
2015-02-21,2015-02,Uber,Queens,6627
2015-02-21,2015-02,Uber,Staten Island,51
2015-02-21,2015-02,Uber,Unknown,25
2015-02-22,2015-02,Uber,Bronx,915
2015-02-22,2015-02,Uber,Brooklyn,11532
2015-02-22,2015-02,Uber,EWR,1
2015-02-22,2015-02,Uber,Manhattan,45682
2015-02-22,2015-02,Uber,Queens,6877
2015-02-22,2015-02,Uber,Staten Island,19
2015-02-22,2015-02,Uber,Unknown,32
2015-02-23,2015-02,Uber,Bronx,946
2015-02-23,2015-02,Uber,Brooklyn,9556
2015-02-23,2015-02,Uber,Manhattan,52168
2015-02-23,2015-02,Uber,Queens,7100
2015-02-23,2015-02,Uber,Staten Island,35
2015-02-23,2015-02,Uber,Unknown,24
2015-02-24,2015-02,Uber,Bronx,985
2015-02-24,2015-02,Uber,Brooklyn,9579
2015-02-24,2015-02,Uber,Manhattan,61189
2015-02-24,2015-02,Uber,Queens,5882
2015-02-24,2015-02,Uber,Staten Island,35
2015-02-24,2015-02,Uber,Unknown,28
2015-02-25,2015-02,Uber,Bronx,1052
2015-02-25,2015-02,Uber,Brooklyn,9423
2015-02-25,2015-02,Uber,EWR,1
2015-02-25,2015-02,Uber,Manhattan,57045
2015-02-25,2015-02,Uber,Queens,5808
2015-02-25,2015-02,Uber,Staten Island,24
2015-02-25,2015-02,Uber,Unknown,23
2015-02-26,2015-02,Uber,Bronx,1034
2015-02-26,2015-02,Uber,Brooklyn,10432
2015-02-26,2015-02,Uber,EWR,2
2015-02-26,2015-02,Uber,Manhattan,64061
2015-02-26,2015-02,Uber,Queens,6340
2015-02-26,2015-02,Uber,Staten Island,47
2015-02-26,2015-02,Uber,Unknown,30
2015-02-27,2015-02,Uber,Bronx,1176
2015-02-27,2015-02,Uber,Brooklyn,12122
2015-02-27,2015-02,Uber,EWR,1
2015-02-27,2015-02,Uber,Manhattan,66690
2015-02-27,2015-02,Uber,Queens,7021
2015-02-27,2015-02,Uber,Staten Island,39
2015-02-27,2015-02,Uber,Unknown,47
2015-02-28,2015-02,Uber,Bronx,1300
2015-02-28,2015-02,Uber,Brooklyn,15793
2015-02-28,2015-02,Uber,Manhattan,62243
2015-02-28,2015-02,Uber,Queens,7170
2015-02-28,2015-02,Uber,Staten Island,33
2015-02-28,2015-02,Uber,Unknown,29
